"Story","Title","Result","Date","Stability","Duration (s)"
"Loguearse en el sistema","enviar email","PENDING","2024-11-23T13:49:10.9510721-05:00[America/Bogota]","0.0","0.93"
"Loguearse en el sistema","enviar email","SUCCESS","2024-11-24T15:43:51.9193137-05:00[America/Bogota]","0.0","141.56"
